行ID,订单ID,订单日期,发货日期,邮寄方式,客户ID,客户名称,细分,城市,省/自治区,国家,地区,产品ID,类别,子类别,产品名称,销售额,数量,折扣,利润
1,CN-2016-0000001,2016/1/1,2016/1/3,二级,AG6WSLLXZY52,prateeqSuraj,公司,常德,湖南,中国,中南,B09F9YQQ7B,Electronics|HomeTheater,Electronics|HomeTheater,"Redmi 80, cm",5288.85,3,0.25,-634.83
2,CN-2016-0000002,2016/1/1,2016/1/3,二级,AF2XXVO7JUBU,DeepaakSingh,公司,常德,湖南,中国,中南,B09KLVMZ3B,Computers|Accessories,Computers|Accessories,"Portronics Konnect, L",1607.34,3,0.0,610.68
3,CN-2016-0000003,2016/1/1,2016/1/3,二级,AF2XXVO7JUBU,DeepaakSingh,公司,常德,湖南,中国,中南,B09KLVMZ3B,Computers|Accessories,Computers|Accessories,"Portronics Konnect, L",1607.34,3,0.0,610.68
4,CN-2016-0000004,2016/1/1,2016/1/3,二级,AEOIHOJD3O5M,RaviShankarP,公司,常德,湖南,中国,中南,B0B86CDHL1,Computers|Accessories,Computers|Accessories,"oraimo 65W, Type",3304.7,5,0.0,1321.6
5,CN-2016-0000005,2016/1/1,2016/1/3,二级,AEOIHOJD3O5M,RaviShankarP,公司,常德,湖南,中国,中南,B0B86CDHL1,Computers|Accessories,Computers|Accessories,"oraimo 65W, Type",3304.7,5,0.0,1321.6
6,CN-2016-0000006,2016/1/2,2016/1/9,标准级,AHZWJCVEIEI7,AmazonCustom,公司,上海,上海,中国,华东,B09W5XR9RT,Computers|Accessories,Computers|Accessories,"Duracell USB, C",6919.08,3,0.0,691.74
7,CN-2016-0000007,2016/1/2,2016/1/9,标准级,AHZWJCVEIEI7,AmazonCustom,公司,上海,上海,中国,华东,B09W5XR9RT,Computers|Accessories,Computers|Accessories,"Duracell USB, C",6919.08,3,0.0,691.74
8,CN-2016-0000008,2016/1/2,2016/1/9,标准级,AHJJY3GFDJFT,AtulyaSinhaS,公司,上海,上海,中国,华东,B09TWH8YHM,Electronics|Mobiles&Accessories,Electronics|Mobiles&Accessories,"Samsung Galaxy, M33",2074.24,8,0.0,414.4
9,CN-2016-0000009,2016/1/2,2016/1/7,二级,AHRUMHBZ7IAQ,KoushalKJain,消费者,江口,福建,中国,华东,B09C6HWG18,Computers|Accessories,Computers|Accessories,"Duracell Type, C",388.64,1,0.0,23.24
10,CN-2016-0000010,2016/1/2,2016/1/7,二级,AHRUMHBZ7IAQ,KoushalKJain,消费者,江口,福建,中国,华东,B09C6HWG18,Computers|Accessories,Computers|Accessories,"Duracell Type, C",388.64,1,0.0,23.24
